Kode Barang,Barang,Tanggal,Tipe Transaksi,No. Transaksi,Deskripsi,Mutasi,Stok di Tangan,Unit
"",* ACER ASPIRE A515-44-R6YQ SILVER AMD RYZEN 5 QC 4500U WIN 10,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER ASPIRE GO 14 AG14-72P INTEL CORE 5 120U 8GB DDR4 512GB SSD WIN 11,31/05/2026,Saldo Awal,"","","",4.0,UNIT
"",* ACER ASPIRE GO 14 AG14-72P INTEL CORE 5 120U 8GB DDR4 512GB SSD WIN 11,01/06/2026,Sales Invoice,JL.2026.13236,INTAN,-1.0,3.0,UNIT
"",* ACER ASPIRE GO 14 AG14-72P INTEL CORE 5 120U 8GB DDR4 512GB SSD WIN 11,14/06/2026,Sales Invoice,JL.2026.13686,LANANG BRIDA,-3.0,0.0,UNIT
"",* ACER ASPIRE LITE 14 AL14 i3 N355 8GB 256GB SSD WIN 11,31/05/2026,Saldo Awal,"","","",13.0,UNIT
"",* ACER ASPIRE LITE 14 AL14 i3 N355 8GB 256GB SSD WIN 11,01/06/2026,Sales Invoice,JL.2026.13198,"ETY
085 237 173 108",-1.0,12.0,UNIT
"",* ACER ASPIRE LITE 14 AL14 i3 N355 8GB 256GB SSD WIN 11,01/06/2026,Sales Invoice,JL.2026.13221,"",-2.0,10.0,UNIT
"",* ACER ASPIRE LITE 14 AL14 i3 N355 8GB 256GB SSD WIN 11,01/06/2026,Sales Invoice,JL.2026.13226,"",-2.0,8.0,UNIT
"",* ACER ASPIRE LITE AL1 14 Ci3 1215 8GB 512GB WIN 11 RS,31/05/2026,Saldo Awal,"","","",1.0,PCS
"",* ACER ASPIRE LITE AL14 51M Ci5 1235U 8GB 512GB SSD WIN 11 #,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER ASPIRE LITE AL14 52M Ci5 1334U 16GB 512GB SSD WIN 11,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER ASPIRE LITE AL14 52M Ci5 1334U 8GB 512GB SSD WIN 11 #,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 256GB SSD WIN 11 #,31/05/2026,Saldo Awal,"","","",23.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 256GB SSD WIN 11 #,01/06/2026,Sales Invoice,JL.2026.12292,"PAK ALAM

082 340 596 559",-1.0,22.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 256GB SSD WIN 11 #,01/06/2026,Sales Invoice,JL.2026.13150,"",-1.0,21.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 256GB SSD WIN 11 #,01/06/2026,Sales Invoice,JL.2026.13159,"TITI

082339894447",-1.0,20.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 256GB SSD WIN 11 #,01/06/2026,Sales Invoice,JL.2026.13160,"NOVI 

085337926392",-1.0,19.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 256GB SSD WIN 11 #,01/06/2026,Sales Invoice,JL.2026.13192,"",-1.0,18.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 256GB SSD WIN 11 #,01/06/2026,Sales Invoice,JL.2026.13214,"",-1.0,17.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 256GB SSD WIN 11 #,01/06/2026,Sales Invoice,JL.2026.13222,"",-1.0,16.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 256GB SSD WIN 11 #,01/06/2026,Sales Invoice,JL.2026.13229,"",-1.0,15.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 256GB SSD WIN 11 #,01/06/2026,Sales Invoice,JL.2026.13235,"ATUN

085 333 994 230",-1.0,14.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 256GB SSD WIN 11 #,01/06/2026,Sales Invoice,JL.2026.13237,"YUSIRAN

081 339 096 891",-1.0,13.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 256GB SSD WIN 11 #,01/06/2026,Sales Invoice,JL.2026.13269,"ANIE

085 338 569 225",-1.0,12.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 256GB SSD WIN 11 #,01/06/2026,Sales Invoice,JL.2026.13288,"",-1.0,11.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 512GB SSD WIN 11,31/05/2026,Saldo Awal,"","","",26.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 512GB SSD WIN 11,01/06/2026,Sales Invoice,JL.2026.12331,"INDAH

085 238 730 321",-1.0,25.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 512GB SSD WIN 11,01/06/2026,Sales Invoice,JL.2026.13134,"muhayan

085 239 763 252",-1.0,24.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 512GB SSD WIN 11,01/06/2026,Sales Invoice,JL.2026.13135,"IKA

081 338 338 489",-1.0,23.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 512GB SSD WIN 11,01/06/2026,Sales Invoice,JL.2026.13149,"YUNUS

085 239 998 161",-1.0,22.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 512GB SSD WIN 11,01/06/2026,Sales Invoice,JL.2026.13165,"KINA

082 339 061 889",-1.0,21.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 512GB SSD WIN 11,01/06/2026,Sales Invoice,JL.2026.13173,"IBU SULASTRI

085 333 766 158",-1.0,20.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 512GB SSD WIN 11,10/06/2026,Sales Invoice,JL.2026.13311,"BRIAN

082339757222",-1.0,19.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 512GB SSD WIN 11,10/06/2026,Sales Invoice,JL.2026.13329,"MUHLIS

082359053762",-1.0,18.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 512GB SSD WIN 11,11/06/2026,Sales Invoice,JL.2026.13447,"DIRAN 

083129074016",-1.0,17.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 512GB SSD WIN 11,12/06/2026,Sales Invoice,JL.2026.13600,"SUPRIN

085 337 252 216",-1.0,16.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 512GB SSD WIN 11,14/06/2026,Sales Invoice,JL.2026.13748,"KADAFI

082339187154",-1.0,15.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 512GB SSD WIN 11,15/06/2026,Sales Invoice,JL.2026.13782,"SD NEGERI KOWO

NILAI SIPLAH : 9.000.000

SIPLAH TGL : 15/6/2026",-1.0,14.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 512GB SSD WIN 11,15/06/2026,Sales Invoice,JL.2026.13803,"RIRA

085238731518",-1.0,13.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 512GB SSD WIN 11,16/06/2026,Sales Invoice,JL.2026.13868,"RATU

082340832839",-1.0,12.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 512GB SSD WIN 11,17/06/2026,Sales Invoice,JL.2026.14034,"NOVI

081 338 338 892",-1.0,11.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 512GB SSD WIN 11,18/06/2026,Sales Invoice,JL.2026.14094,"",-1.0,10.0,UNIT
"",* ACER ASPIRE LITE AL14 N150 8GB 512GB SSD WIN 11,20/06/2026,Sales Invoice,JL.2026.14266,"FAIRUS

087 858 417 326",-1.0,9.0,UNIT
"",* ACER ASPIRE LITE AL14 N4500 8GB 512GB SSD WIN 11,31/05/2026,Saldo Awal,"","","",6.0,UNIT
"",* ACER ASPIRE LITE AL14-31P INTEL CEL N100 8GB 256GB SSD WIN 11 #,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER ASPIRE LITE AL14-32P-3S16 INTEL CORE 3 N355 16GB DDR5 512GB SSD WIN 11,31/05/2026,Saldo Awal,"","","",2.0,UNIT
"",* ACER ASPIRE LITE AL14-32P-3S16 INTEL CORE 3 N355 16GB DDR5 512GB SSD WIN 11,01/06/2026,Sales Invoice,JL.2026.13258,"DEBY

081 337 977 282",-1.0,1.0,UNIT
"",* ACER ASPIRE LITE AL14-32P-3S16 INTEL CORE 3 N355 16GB DDR5 512GB SSD WIN 11,01/06/2026,Sales Invoice,JL.2026.13259,"BUNDA ICO 

085239586376",-1.0,0.0,UNIT
"","* ACER ASPIRELITE AL14 - 32 Ci3 N355 8GB 512GB SSD 14"" WIN 11",31/05/2026,Saldo Awal,"","","",5.0,UNIT
"",* ACER EXTENSA 15 EX215-31  INTEL N4020 4GB SSD 256GB,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER GO ASPIRE 14 AG14-31P-34GM Ci3-N305 8GB 512GB SSD WIN 11 #,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"","* ACER LITE AL14 51M 14"" Ci3 1215U 16GB 256GB SSD WIN 11",31/05/2026,Saldo Awal,"","","",0.0,UNIT
"","* ACER LITE AL14 51M 14"" Ci3 1215U 8GB 256GB SSD WIN 11 #",31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER LITE AL14-51M i5-1235U 16GB 512GB SSD WIN 11 SILVER #,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER MATE 14 AM1 INTEL CORE i5 - 1235U 16GB DDR4 512GB SSD WIN 11 + OHS,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER NITRO 5 AN515-57-52BQ CI5-11400H 8GB 512GB SSD RTX 3050 4GB W11 NW,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER NITRO V15 ANV15 - 51 Ci7-13620H 2X8GB DDR5  512SSD RTX 2050 4GB GDDR6 WIN 11 #,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER NITRO V15 ANV15 51 542G Ci5 - 13420H 8GB 512GB SSD RTX 2050 4GB WIN 11,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER PREDATOR NITRO 5 AN515 - 58 Ci5-12500H 8 512 SSD RTX 3050 WIN 11 #,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER SPIN 3 ACTIVE SP313 Ci5-1135G7 8GB 512GB SSD INTEL IRIS XE WIN 11,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER SPIN 3 i3 - N305 8GB SSD 512GB WIN 11 #,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER SWIFT 14 SF14-71T Ci7-13700H 16GB 1TB SSD IRIS XE GRAPHICHS 96 EU WIN 11 #,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER SWIFT 3 INFINITY 4 CI5 1135G7 16GB 512GB SSD IRIS XE WIN 10,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER SWIFT 3 INFINITY 4 CI7-1165G7 16GB,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER SWIFT 3 SF314-42-R27X AMD RYZEN 5 4500U 8GB 512GB SSD WIN10,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER SWIFT GO OLED 14 SFG14 CORE ULTRA 7 155H 16GB 512GB SSD WIN 11 #,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER SWIFT OLED SF31 Ci5-12500H 16GB 512GB SSD IRIS XE GRAPHICS 80EU WIN 11,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER SWIFT X SFX14 72G CORE ULTRA 7 155H 32GB 1TB SSD RTX 4050 6GB WIN 11 *,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"","* ACER TRAVEL MATE TMP214-52 CI3-10110 4GB 512GB SSD 14""",31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER TRAVELMATE P214 CORE I7 1335U 8GB 512GB SSD WIN 11 VGA 4GB WIN 11,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"","* ACER VERO AV15-51-547X CI5 1155G7 8GB SSD 512GB VGA IRIS XE 15,6""",31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ADAPTOR ACER 12V 2A (1410),31/05/2026,Saldo Awal,"","","",9.0,PCS
"",* ADAPTOR ACER 19V 2.1A (TO),31/05/2026,Saldo Awal,"","","",10.0,PCS
"",* ADAPTOR ACER 19V 3.0*1.1 SWIFT,31/05/2026,Saldo Awal,"","","",10.0,PCS
"",* ADAPTOR ACER OR 19V 3.42A (KUNING),31/05/2026,Saldo Awal,"","","",12.0,PCS
"",* ADAPTOR ASUS 1.75A (USB),31/05/2026,Saldo Awal,"","","",5.0,PCS
"",* ADAPTOR ASUS 19V 3.42A (KT),31/05/2026,Saldo Awal,"","","",15.0,PCS
"","* ADAPTOR ASUS 19V 3.42A CL VIVO 4,5 X 3.0",31/05/2026,Saldo Awal,"","","",11.0,PCS
"",* ADAPTOR ASUS 3.42A (A407),31/05/2026,Saldo Awal,"","","",15.0,PCS
"",* ADAPTOR AXIOO HYPE 1 12V 2A,31/05/2026,Saldo Awal,"","","",4.0,PCS
"",* ADAPTOR AXIOO HYPE 1 12V 2A,13/06/2026,Sales Invoice,JL.2026.13607,"",-1.0,3.0,PCS
"",* ADAPTOR AXIOO HYPE 1 12V 2A,19/06/2026,Sales Invoice,JL.2026.14221,"",-1.0,2.0,PCS
"",* ADAPTOR AXIOO HYPE 10,31/05/2026,Saldo Awal,"","","",1.0,PCS
"",* ADAPTOR AXIOO HYPE 10,01/06/2026,Sales Invoice,JL.2026.12258,"",-1.0,0.0,PCS
"",* ADAPTOR HP 19V 3.5A (BUNDAR JARUM),31/05/2026,Saldo Awal,"","","",10.0,PCS
"",* ADAPTOR HP BIRU 19.5V 3.33A,31/05/2026,Saldo Awal,"","","",12.0,PCS
"",* ADAPTOR LENOVO 20V 3.25A (S),31/05/2026,Saldo Awal,"","","",14.0,PCS
"",* ADAPTOR LENOVO TYPE C 20V 3.25A,31/05/2026,Saldo Awal,"","","",5.0,PCS
"",* ADAPTOR ORI ACER 20 V 3.25 USB TYPE C,31/05/2026,Saldo Awal,"","","",1.0,PCS
"",* ADAPTOR TOSHIBA (ORI),31/05/2026,Saldo Awal,"","","",15.0,PCS
"",* ADAPTOR UNIVERSAL,31/05/2026,Saldo Awal,"","","",4.0,PCS
"",* AIO ACER C22 - 1650 CI3-1115G4 4GB 1TB WIN10,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO ACER C22 - 1650 Ci3-1115G4 4GB 512GB SSD WIN 10,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO ACER C22 - 1650 Ci5-1135G7 4GB 512GB SSD WIN11 (BL),31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO ACER C22 - 1700 Ci5-1235U 8GB 512GB SSD INTEL IRIS XE WIN 11,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO ACER C22-963 Ci3-1005G1 4GB 1TB HDD W10,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO ACER C24 - 1650 Ci3 - 1115G4 8GB 512GB SSD #,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO ACER C24-1650 CI3-1115G4 4GB 512GB SSD WIN 11,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO ACER C24-963 Ci3-1005G1 4GB 512GB SSD W10 + OHS,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO ASUS A302WBAK Ci3 1215U 8GB 512GB SSD WIN 11 HOME #,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO ASUS A3202 Ci5-1235U 8GB 512GB SSD WIN 11 #,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO ASUS A3202WBAK I3-1215U 8GB 256GB SSD WIN 11 #,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"","* AIO ASUS A3202WBAK INTEL 7305 8GB 256GB SSD 21,5"" WIN 11",31/05/2026,Saldo Awal,"","","",4.0,UNIT
"","* AIO ASUS A3202WBAK INTEL 7305 8GB 256GB SSD 21,5"" WIN 11",01/06/2026,Sales Invoice,JL.2026.13200,"",-2.0,2.0,UNIT
"","* AIO ASUS A3202WBAK INTEL 7305 8GB 256GB SSD 21,5"" WIN 11",01/06/2026,Sales Invoice,JL.2026.13210,"",-2.0,0.0,UNIT
"","* AIO ASUS A3202WBAK INTEL 7305 8GB 256GB SSD 21,5"" WIN 11",08/06/2026,Purchase Invoice,JL.2606.02032,MASUK ,2.0,2.0,UNIT
"","* AIO ASUS A3202WBAK INTEL 7305 8GB 256GB SSD 21,5"" WIN 11",20/06/2026,Purchase Invoice,JL.2606.04550,BELUM MASUK ,6.0,8.0,UNIT
"",* AIO ASUS A3202WVAK Ci3-1315U 8GB 512GB SSD WIN 11,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"","* AIO ASUS E3402WVAK i7-1355U 8GB 512GB SSD 23'8"" WIN 11",31/05/2026,Saldo Awal,"","","",0.0,UNIT
"","* AIO ASUS E402WBAK CORE I7 1255U 8GB 512GB SSD 23,8"" #",31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO ASUS EXPERTCENTER P400 P440VAT INTEL CORE i5 - 13420H 8GB DDR5 512GB SSD WIN 11 TOUCH,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO ASUS ExpertCenter P440VAK B5151WS intel Core i5 13420H 16GB 512GB W11,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"","* AIO ASUS P440VAK -B3851W i3 - 1315 8GB 512GB SSD WIN 11 23'8 """,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"","* AIO ASUS P440VAK i3 - 1315U 8GB DDR5 512GB SSD 23,8"" WIN 11",31/05/2026,Saldo Awal,"","","",1.0,UNIT
"","* AIO ASUS P440VAK i3 - 1315U 8GB DDR5 512GB SSD 23,8"" WIN 11",01/06/2026,Sales Invoice,JL.2026.13181,"",-1.0,0.0,UNIT
"","* AIO ASUS V222FAK CI3 10110U 4GB 1TB 21'5"" NW",31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO ASUS V222FAK CI3-10110U 4GB 256GB SSD WIN 11 NW,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO ASUS V222FAK CI5-10210U 4GB 256GB SSD WIN 11,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO ASUS V222FAK-BA3411T Ci3-10110U 4GB 1TB + 128GB SSD,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO ASUS V222FAK-BA342T-90PT02G1-M00560 CI3-10110U SSD,31/05/2026,Saldo Awal,"","","",0.0,PCS
"",* AIO ASUS V222GAK INTEL J4025 4GB 1TB HDD WIN 11 NW,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO ASUS V222GAK INTEL J4025 4GB 256GB SSD #,31/05/2026,Saldo Awal,"","","",1.0,UNIT
"",* AIO ASUS V222GAK WA141T INTEL J4025 4GB 1TB WIN 10,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO ASUS V222UAK  BA341T  Ci3 Win10,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO ASUS V222UBK WA541T 90PT0272 M01480 Ci5 VGA w10,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO ASUS V241EAK - BA785W Ci7-1165G7 8GB 512GB SSD,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"","* AIO ASUS V241EPT 23.8"" INTEL I7 -1165G7 / NVIDIA MX 330 2GB / 16GB DDR 4 / 1TB HDD + 256GB SSD",31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO AXIOO HYPE FLEX 5 + INTEL CORE i5 - 12450H 16GB 512GB SSD DOS,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO HP 200 PRO G4 22 CI3 - 10110U 4GB 1TB HDD DVD RW WIN 11,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO HP 22 DF0145D 1V7D8AA INTEL J4025 4GB 1TB,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO HP 22 DG0006D INTEL N100 8GB 512GB SSD WIN 11,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO HP 24 - DF1012D - 397J8PA Ci5-1135G7 8GB 512GB SSD,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO HP 24 Ci5 1235U 8GB 512GB SSD WIN11,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO HP 24 CR1126D ULTRA 7 155U 16GB 512GB SSD INTEL IRIS XE GRAPHICS WIN 11 *,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"","* AIO HP PRO ONE 240 G10 CORE I3 - N300 8GB 512GB SSD 23.8"" WIN 11",31/05/2026,Saldo Awal,"","","",1.0,UNIT
"","* AIO HP PRO ONE 240 G10 CORE I3 - N300 8GB 512GB SSD 23.8"" WIN 11",01/06/2026,Sales Invoice,JL.2026.13286,"PUSKESMAS SAPE
SPJ
9.950.000",-1.0,0.0,UNIT
"","* AIO LENOVO 3 22IMB05-F0EV0092ID Ci5-10400T 8GB 1TB 21,5"" FHD TOUCH SCREEN",31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* AIO LENOVO A100 INTEL N100 8GB DDR4 512GB SSD WIN 11,31/05/2026,Saldo Awal,"","","",13.0,UNIT
