Kode produk / SKU,Nama produk,Qty pembelian,Qty retur,Unit,Nilai pembelian,Nilai retur,Nilai pembelian rata-rata
"",BATERAI ASUS A41-X550A,1.0,0.0,PCS,210000.0,0.0,210000.0
"",BATERAI ASUS B31N1912 #,1.0,0.0,PCS,310000.0,0.0,310000.0
"",BATERAI ASUS B31N1912 E410,1.0,0.0,PCS,360000.0,0.0,360000.0
"",BATERAI HP TX 03 XL,1.0,0.0,PCS,340000.0,0.0,340000.0
"",BATERAI LAPTOP ACER E5 - 473 (AL15A32),1.0,0.0,PCS,250000.0,0.0,250000.0
"",BATERAI LAPTOP ASUS E410M,1.0,0.0,PCS,360000.0,0.0,360000.0
"",BATERAI LAPTOP ASUS P1412 C21N1818,1.0,0.0,PCS,350000.0,0.0,350000.0
"",BATERAI LAPTOP ASUS X441,2.0,0.0,PCS,400000.0,0.0,200000.0
"",BATERAI LENOVO L19M3PD6@,1.0,0.0,PCS,360000.0,0.0,360000.0
"",BINGKAI FOTO 10R,10.0,0.0,PCS,190000.0,0.0,19000.0
"",BINGKAI FOTO 12R,30.0,0.0,PCS,510000.0,0.0,17000.0
"",BLUEPRINT CASH DRAWER 405X420X88/100MM,1.0,0.0,PCS,407000.0,0.0,407000.0
"",BLUEPRINT CASH DRAWER 405X420X98/112MM,1.0,0.0,UNIT,445000.0,0.0,445000.0
"",BLUEPRINT CATRIDGE TONER HP 285A,30.0,0.0,PCS,10500000.0,0.0,350000.0
"",BLUEPRINT PRINTABLE CARD (KERTAS ID CARD),120.0,0.0,PCS,5580000.0,0.0,46500.0
"",BLUEPRINT SCANNER BARCODE BP UC200 2D,2.0,0.0,PCS,980000.0,0.0,490000.0
"",BLUEPRINT SCANNER BARCODE OMNI,2.0,0.0,PCS,1330000.0,0.0,665000.0
"",CAM CCTV EZVIZ C6N #,15.0,0.0,UNIT,5220000.0,0.0,348000.0
"",CAM CCTV EZVIZ C6N 3MP 2K,7.0,0.0,PCS,2322000.0,0.0,331714.29
"",CAM HIK 2MP INDOOR,6.0,0.0,PCS,1920000.0,0.0,320000.0
"",CAM HIK 2MP OUTDOOR,6.0,0.0,PCS,2070000.0,0.0,345000.0
"",CASING NYK NEMESIS ARKAIS - T55,1.0,0.0,PCS,325000.0,0.0,325000.0
"",CATRDIGE CANON CA91 / BH7 (G2010),7.0,0.0,PCS,1946000.0,0.0,278000.0
"",CATRIDGE CANON 810 BLACK,96.0,0.0,PCS,21696000.0,0.0,226000.0
"",CATRIDGE CANON CA92 / CH7 (G2010),7.0,0.0,PCS,2226000.0,0.0,318000.0
"",CATRIDGE CANON CL1 - 751 CYAN,1.0,0.0,PCS,205000.0,0.0,205000.0
"",CATRIDGE CANON CL1 - 751 YELLOW,1.0,0.0,PCS,205000.0,0.0,205000.0
"",CATRIDGE TONER BROTHER L2540 DW,2.0,0.0,PCS,812000.0,0.0,406000.0
"",CCTV CAM DAHUA HAC B1A21 IR BULLET (OUTDOOR),55.0,0.0,PCS,10450000.0,0.0,190000.0
"",CCTV CAM DAHUA HAC-T1A21 IR BULLET (INDOOR),75.0,0.0,PCS,13125000.0,0.0,175000.0
"",CCTV DVR DAHUA 8CH XVR1B08-1 (MH),4.0,0.0,UNIT,2780000.0,0.0,695000.0
"",CCTV DVR DAHUA DH-XVR1B04-I 4CH,3.0,0.0,UNIT,1590000.0,0.0,530000.0
"",CCTV DVR DAHUA XVR1B16H 16CH,1.0,0.0,PCS,1330000.0,0.0,1330000.0
"",CCTV DVR HIK 16CH DS 7216HGHI K1,1.0,0.0,PCS,1960000.0,0.0,1960000.0
"",CONNECTOR RJ45 BELDEN CAT5E (PACK),15.0,0.0,PCS,1500000.0,0.0,100000.0
"",CONVERTER FIBER OPTIC TO LAN HTB 3100 A,30.0,0.0,PCS,2820000.0,0.0,94000.0
"",CONVERTER HDMI TO VGA (KABEL),57.0,0.0,PCS,1112000.0,0.0,19508.77
"",DAHUA IP CAM 2MP OUTDOOR,4.0,0.0,UNIT,1940000.0,0.0,485000.0
"",DOUBLE TAPE TIPIS NACHI DT 24MM X 10Y X 80R ACR,80.0,0.0,PCS,412000.0,0.0,5150.0
"",EPSON T04D1 MAINTENANCE BOX,1.0,0.0,PCS,152500.0,0.0,152500.0
"",FD GLIDE SDCZ600 16GB 3.0,100.0,0.0,PCS,10000000.0,0.0,100000.0
"",FUJIFILM INSTAX MINI PAPER,2.0,0.0,PCS,580000.0,0.0,290000.0
"",HDD INTERNAL CCTV TOSHIBA 4TB,1.0,0.0,PCS,2475000.0,0.0,2475000.0
"",HDD PC OSMOUS 1TB #,10.0,0.0,PCS,8775000.0,0.0,877500.0
"",HDD PC OSMOUS 1Tb 7200RPM - RED (garansi 1th),4.0,0.0,PCS,3540000.0,0.0,885000.0
"",HDD PC OSMOUS CCTV 1TB 5400RPM - RED,1.0,0.0,PCS,870000.0,0.0,870000.0
"",HDD PC OSMOUS CCTV 2TB #,2.0,0.0,PCS,2860000.0,0.0,1430000.0
"",HDD PC SEAGATE SATA 1TB PI,10.0,0.0,PCS,5950000.0,0.0,595000.0
"",HDD PC SEAGATE SATA 500 GB PI,20.0,0.0,PCS,4550000.0,0.0,227500.0
"",HDD PC WD PURPLE 2TB,2.0,0.0,PCS,4050000.0,0.0,2025000.0
"",IP CAM DAHUA 4MP OUTDOOR,4.0,0.0,PCS,2900000.0,0.0,725000.0
"",ISI STEPLES KANGARO NO 10,1000.0,0.0,PCS,1500000.0,0.0,1500.0
"",JASA SERVICE,1.0,0.0,JASA,4500.0,0.0,4500.0
"",KABEL CCTV PERMETER,1200.0,0.0,METER,2800000.0,0.0,2333.33
"",KABEL DATA JETE CX13 LED TYPE C TO C 100W,5.0,0.0,PCS,274500.0,0.0,54900.0
"",KABEL POWER LAPTOP HOWELL / HYDRA / DATAFAST,170.0,0.0,PCS,2870000.0,0.0,16882.35
"",KABEL USB A - A,15.0,0.0,PCS,262500.0,0.0,17500.0
"",KERTAS FOTO SPECTRA 210 (BURUNG),50.0,0.0,PCS,925000.0,0.0,18500.0
"",KERTAS FOTO SPECTRA 230 (BUAH NAGA),50.0,0.0,PCS,975000.0,0.0,19500.0
"",KERTAS FOTO SPECTRA A3 GLOSSY,35.0,0.0,PCS,2170000.0,0.0,62000.0
"",KERTAS FOTO SPECTRA A3 SILKY,40.0,0.0,PCS,2480000.0,0.0,62000.0
"",KERTAS FOTO SPECTRA GLOSSY 260,360.0,0.0,PCS,20520000.0,0.0,57000.0
"",KERTAS FOTO SPECTRA SILKY 260,340.0,0.0,PCS,19380000.0,0.0,57000.0
"",KEYBOARD + MOUSE VOXY KM100,20.0,0.0,PAKET,1100000.0,0.0,55000.0
"",KEYBOARD ACER A314 36,2.0,0.0,PCS,580000.0,0.0,290000.0
"",KEYBOARD ACER E5 471 TANPA ON OFF,8.0,0.0,PCS,537000.0,0.0,67125.0
"",KEYBOARD ACER E5 473 ON OFF / E5 475 / ES1 432,3.0,0.0,PCS,240000.0,0.0,80000.0
"",KEYBOARD ACER LITE N100 AL14 31P + casing,1.0,0.0,PCS,400000.0,0.0,400000.0
"",KEYBOARD ASUS A409,5.0,0.0,PCS,440000.0,0.0,88000.0
"",KEYBOARD ASUS E410,4.0,0.0,PCS,600000.0,0.0,150000.0
"",KEYBOARD LAPTOP ASUS A407,3.0,0.0,PCS,240000.0,0.0,80000.0
"",KEYBOARD LAPTOP ASUS E402,2.0,0.0,PCS,300000.0,0.0,150000.0
"",KEYBOARD LAPTOP ASUS X441 (BLACK),11.0,0.0,PCS,746000.0,0.0,67818.18
"",KEYBOARD LAPTOP TOSHIBA C50 B,2.0,0.0,PCS,250000.0,0.0,125000.0
"",KEYBOARD LENOVO G40-70,3.0,0.0,PCS,255000.0,0.0,85000.0
"",KLEM KABEL MASKO NO 10 (ISI 50 BIJI),25.0,0.0,Buah,135000.0,0.0,5400.0
"",KLEM KABEL MASKO NO 6 (ISI 50 BIJI),12.0,0.0,Buah,30600.0,0.0,2550.0
"",KLEM KABEL NO 10,10.0,0.0,KOTAK,100000.0,0.0,10000.0
"",KONEKTOR FO BUAYA,150.0,0.0,PCS,525000.0,0.0,3500.0
"",KRESEK 03 X 40 MERAH,60.0,0.0,PCS,1140000.0,0.0,19000.0
"",LCD AIO,2.0,0.0,UNIT,2700000.0,0.0,1350000.0
"",LCD LAPTOP 14 30 PIN SMALL FRAME NO BR,1.0,0.0,PCS,700000.0,0.0,700000.0
"",LCD LAPTOP 14 TIPIS 30 PIN,5.0,0.0,PCS,1736500.0,0.0,347300.0
"",LED ACER 21.5 EK221Q Hbi VA FHD (1920 x 1080),4.0,0.0,UNIT,3700000.0,0.0,925000.0
"",LED ACER 21.5 EK221Q Hbi VA FHD (1920 x 1080) TP,10.0,0.0,UNIT,9250000.0,0.0,925000.0
"","LED LENOVO 21,5 L22E-4E VA (1920X1080) 100HZ",7.0,0.0,PCS,6792000.0,0.0,970285.71
"",LED LG 24MS500 -B 24 FHD 100HZ #,2.0,0.0,UNIT,2180000.0,0.0,1090000.0
"",LED SAMSUNG LS24F320GAEXXD 24 ESSENTIAL S3 S32GF IPS FHD,2.0,0.0,UNIT,2170000.0,0.0,1085000.0
"",LENOVO V14 G4 AMD RYZEN 3 7320U 8GB 256 GB SSD WIN 11 #,3.0,0.0,UNIT,22470000.0,0.0,7490000.0
"",LENOVO V15 G5 IRL Ci3-1315U 8GB DDR 5 512GB SSD WIN 11,2.0,0.0,UNIT,15580000.0,0.0,7790000.0
"",MB ASUS INTEL PRIME H510M-K R2.0,1.0,0.0,UNIT,1035000.0,0.0,1035000.0
"",MB BULLDOZER H61,5.0,0.0,PCS,1300000.0,0.0,260000.0
"",MB FAST H81 NVME,4.0,0.0,PCS,1400000.0,0.0,350000.0
"",MB GIGABYTE INTEL H110M-H DDR4,1.0,0.0,PCS,1195000.0,0.0,1195000.0
"",MESIN HITUNG UANG KASSEN MC - 20,1.0,0.0,UNIT,830000.0,0.0,830000.0
"",MESIN HITUNG UANG KOZURE MC 101 + PLUS,1.0,0.0,PCS,1025000.0,0.0,1025000.0
"",MICRO SD 128GB A2 EXTREME SANDISK,1.0,0.0,PCS,399000.0,0.0,399000.0
"","MONITOR LED LENOVO 18,5 D19-10 VGA HDMI",2.0,0.0,UNIT,1750000.0,0.0,875000.0
"","MONITOR MSI MAG 272QPF E20 27 IPS WQHD (2560 x 1440) 200Hz 0.5ms (GtG, Min) Gaming Black",1.0,0.0,UNIT,2775000.0,0.0,2775000.0
"",MOUSE GAMING LENOVO LEGION M200,1.0,0.0,PCS,0.0,0.0,0.0
"",MOUSE VOTRE / VOXY,143.0,0.0,PCS,1430000.0,0.0,10000.0
"",NVR DAHUA 16CH,1.0,0.0,UNIT,1330000.0,0.0,1330000.0
"",OPP 11,100.0,0.0,PCS,500000.0,0.0,5000.0
"",PC BUILUP NEO 50T I3 - 12100 DDR4 4GB 256GB SSD LED 18.5 INCS,4.0,0.0,SET,29400000.0,0.0,7350000.0
"",PEMANAS BROTHER DCP L2540 DW,1.0,0.0,PCS,775000.0,0.0,775000.0
"",PLASTIK KRESEK 02 X 28 HITAM,150.0,0.0,PCS,1275000.0,0.0,8500.0
"",PLONG ID CARD,1.0,0.0,PCS,500000.0,0.0,500000.0
"",POE HIKVISION 4 PORT,2.0,0.0,PCS,990000.0,0.0,495000.0
"",POE HIKVISION 8 PORT,2.0,0.0,PCS,1660000.0,0.0,830000.0
"",PRINTER BLUEPRINT THERMAL BP-LITE80D1 BT,2.0,0.0,UNIT,1334000.0,0.0,667000.0
"",PRINTER BROTHER DCP T730DW,2.0,0.0,PCS,7415000.0,0.0,3707500.0
"",PRINTER CANON G1010,35.0,0.0,UNIT,36760000.0,0.0,1050285.71
"",PRINTER CANON G2010,10.0,0.0,UNIT,15970000.0,0.0,1597000.0
"",PRINTER CANON G3010 WIFI PSC,3.0,0.0,UNIT,6330000.0,0.0,2110000.0
"",PRINTER EPSON L121,12.0,0.0,UNIT,17460000.0,0.0,1455000.0
"",PRINTER EPSON L8050,1.0,0.0,UNIT,4375000.0,0.0,4375000.0
"",PRINTER EPSON L18050,1.0,0.0,UNIT,8200000.0,0.0,8200000.0
"",PRINTER EPSON L121 TP,5.0,0.0,UNIT,7275000.0,0.0,1455000.0
"","PRINTER EPSON L3211 PRINT, SCAN COPY",16.0,0.0,UNIT,32790000.0,0.0,2049375.0
"","PRINTER EPSON L3211 PRINT, SCAN COPY TP",15.0,0.0,UNIT,30825000.0,0.0,2055000.0
"",PRINTER EPSON L3251 WIFI TKDN,8.0,0.0,UNIT,19510000.0,0.0,2438750.0
"",PROC INTEL CORE I3 GEN 2,5.0,0.0,PCS,450000.0,0.0,90000.0
"",PROCESSOR  I5 10400 COMET LAKE #,1.0,0.0,PCS,2140000.0,0.0,2140000.0
"",PROCESSOR  INTEL I5 GEN 4,1.0,0.0,PCS,287500.0,0.0,287500.0
"",PROCESSOR INTEL CORE I5 4590,4.0,0.0,PCS,1330000.0,0.0,332500.0
"",PROJECTOR EPSON EB-E01 XVGA 3LCD,3.0,0.0,UNIT,14970000.0,0.0,4990000.0
"",PROJECTOR VIEW SONIC SP3 SVGA 4800 ANSI LUMENS PORT HDMI #,3.0,0.0,UNIT,13190000.0,0.0,4396666.67
"",PSU AEROCOOL LUX 750W 80 PLUS BRONZE,1.0,0.0,PCS,610000.0,0.0,610000.0
"",PSU AEROCOOL LUX RGB 550W BRONZE,1.0,0.0,PCS,570000.0,0.0,570000.0
"",PSU PCCOOLER KF650 650Watt ATX 80 Plus 230V EU,1.0,0.0,PCS,513000.0,0.0,513000.0
"",RAM PC KINGSTONE DDR3 8GB,13.0,0.0,PCS,2695000.0,0.0,207307.69
"",RAM PC KINGSTONE DDR4 8GB #,2.0,0.0,PCS,2475000.0,0.0,1237500.0
"",RAM PC TEAM ELITE PLUS DDR4 8GB PC 3200 PENDINGIN,2.0,0.0,PCS,2034000.0,0.0,1017000.0
"",RIBBON CATRIDGE EPSON LX310,80.0,0.0,PCS,3680000.0,0.0,46000.0
"",RIBBON CATRIDGE EPSON PLQ 20,5.0,0.0,PCS,2465000.0,0.0,493000.0
"",RIBBON CATRIDGE ORI EPSON LQ 2190,30.0,0.0,PCS,5250000.0,0.0,175000.0
"",RJ45 BELDEN,350.0,0.0,BIJI,690000.0,0.0,1971.43
"",RJ45 CAT 5 PASS THROUGH ( TEMBUS ),10.0,0.0,PACK,700000.0,0.0,70000.0
"",SIDU A3 70GSM,100.0,0.0,PCS,7860000.0,0.0,78600.0
"",SIDU A4 70,250.0,0.0,PCS,9825000.0,0.0,39300.0
"",SIDU F4 70,250.0,0.0,PCS,11175000.0,0.0,44700.0
"",SODIMM KINGSTONE / HYNIX DDR3L 8GB,5.0,0.0,PCS,925000.0,0.0,185000.0
"",SPEAKER ADVANCE K1512K,2.0,0.0,UNIT,3250000.0,0.0,1625000.0
"",SPEAKER POLYTRON PAS PRO15F3,5.0,0.0,UNIT,14940000.0,0.0,2988000.0
"",SSD KINGSTONE 500GB M.2 2280 NV3  PCIE 4.0 NVME,1.0,0.0,PCS,1645000.0,0.0,1645000.0
"",SSD SONIX 256GB M.2 NGFF,3.0,0.0,PCS,2430000.0,0.0,810000.0
"",SSD SONIX 256GB NVME PCIE,3.0,0.0,PCS,2520000.0,0.0,840000.0
"",STAVOLT MOTOR 1000VA SAMOTO,1.0,0.0,UNIT,480000.0,0.0,480000.0
"",STYLUS ST2 UNIVERSAL,1.0,0.0,PCS,119900.0,0.0,119900.0
"",TABUNG INFUS 5 WARNA,15.0,0.0,PCS,825000.0,0.0,55000.0
"",TANG CRIMPING RJ45 BIASA,50.0,0.0,PCS,1525000.0,0.0,30500.0
"",TAS BRANDED POLOS 14 INCH,50.0,0.0,PCS,1125000.0,0.0,22500.0
"",TINTA BROTHER D100 BLACK,2.0,0.0,PCS,190000.0,0.0,95000.0
"",TINTA BROTHER D100 CYAN,2.0,0.0,PCS,190000.0,0.0,95000.0
"",TINTA BROTHER D100 MAGENTA,2.0,0.0,PCS,190000.0,0.0,95000.0
"",TINTA BROTHER D100 YELLOW,2.0,0.0,PCS,190000.0,0.0,95000.0
"",TINTA CANON ORI 790 BLACK,48.0,0.0,PCS,4800000.0,0.0,100000.0
"",TINTA CANON ORI 790 BLACK NON PACK,3.0,0.0,PCS,96000.0,0.0,32000.0
"",TINTA CANON ORI 790 CYAN,40.0,0.0,PCS,4000000.0,0.0,100000.0
"",TINTA CANON ORI 790 CYAN NON PACK,3.0,0.0,PCS,96000.0,0.0,32000.0
"",TINTA CANON ORI 790 MAGENTA,40.0,0.0,PCS,4000000.0,0.0,100000.0
"",TINTA CANON ORI 790 MAGENTA NON PACK,3.0,0.0,PCS,96000.0,0.0,32000.0
"",TINTA CANON ORI 790 YELLOW,40.0,0.0,PCS,4000000.0,0.0,100000.0
"",TINTA CANON ORI 790 YELLOW NON PACK,3.0,0.0,PCS,96000.0,0.0,32000.0
"",TINTA CANON ORI GI - 71 BLACK,72.0,0.0,PCS,7488000.0,0.0,104000.0
"",TINTA EPSON 001 YELLOW,4.0,0.0,PCS,472000.0,0.0,118000.0
"",TINTA EPSON 008 BLACK,4.0,0.0,PCS,1084000.0,0.0,271000.0
"",TINTA EPSON 008 CYAN,3.0,0.0,PCS,666000.0,0.0,222000.0
"",TINTA EPSON 673 BLACK,6.0,0.0,PCS,816000.0,0.0,136000.0
"",TINTA EPSON 673 CYAN,6.0,0.0,PCS,816000.0,0.0,136000.0
"",TINTA EPSON 673 LC,6.0,0.0,PCS,816000.0,0.0,136000.0
"",TINTA EPSON 673 LM,6.0,0.0,PCS,816000.0,0.0,136000.0
"",TINTA EPSON 673 MAGENTA,6.0,0.0,PCS,816000.0,0.0,136000.0
"",TINTA EPSON 673 YELLOW,6.0,0.0,PCS,816000.0,0.0,136000.0
"",TPLINK ROUTER TL WR840N,108.0,0.0,PCS,14800000.0,0.0,137037.04
"",UNDANGAN LIBRA 11 HIJAU,200.0,0.0,PCS,2550000.0,0.0,12750.0
"",VGA GIGABYTE RTX 3050 WINDFORCE V2 6GB DDR6,1.0,0.0,UNIT,3395000.0,0.0,3395000.0
