Kode Produk,Nama Produk,Stok di tangan,Batas Minimum,Satuan,Harga Rata-rata,Nilai
,* ADAPTOR LENOVO TYPE C 20V 3.25A,5,1,PCS,"90,090.09","450,450.45"
,* ADAPTOR ORI ACER 20 V 3.25 USB TYPE C,6,1,PCS,"109,309.31","655,855.86"
,* ADAPTOR TOSHIBA (ORI),15,1,PCS,"52,252.25","783,783.78"
,* ADAPTOR UNIVERSAL,4,1,PCS,"56,756.76","227,027.03"
,* AIO ACER C22 - 1650 CI3-1115G4 4GB 1TB WIN10,0,1,UNIT,"6,577,272.73",0.00
,* AIO ACER C22 - 1650 Ci3-1115G4 4GB 512GB SSD WIN 10,0,1,UNIT,"7,128,787.88",0.00
,* AIO ACER C22 - 1650 Ci5-1135G7 4GB 512GB SSD WIN11 (BL),0,1,UNIT,"8,369,369.37",0.00
,* AIO ACER C22 - 1700 Ci5-1235U 8GB 512GB SSD INTEL IRIS XE WIN 11,0,1,UNIT,"9,013,513.51",0.00
,* AIO ACER C24-1650 CI3-1115G4 4GB 512GB SSD WIN 11,0,1,UNIT,"7,422,727.27",0.00
,* AIO ASUS A302WBAK Ci3 1215U 8GB 512GB SSD WIN 11 HOME #,0,1,UNIT,"5,977,477.48",0.00
,* AIO ASUS A3202 Ci5-1235U 8GB 512GB SSD WIN 11 #,0,1,UNIT,"8,256,756.76",0.00
,* AIO ASUS A3202WBAK I3-1215U 8GB 256GB SSD WIN 11 #,0,1,UNIT,"5,900,900.90",0.00
,"* AIO ASUS A3202WBAK INTEL 7305 8GB 256GB SSD 21,5"" WIN 11",0,1,UNIT,"4,367,117.12",0.00
,* AIO ASUS A3202WVAK Ci3-1315U 8GB 512GB SSD WIN 11,0,1,UNIT,"7,000,000.00",0.00
,"* AIO ASUS E3402WVAK i7-1355U 8GB 512GB SSD 23'8"" WIN 11",0,1,UNIT,"11,621,621.62",0.00
,"* AIO ASUS E402WBAK CORE I7 1255U 8GB 512GB SSD 23,8"" #",0,1,UNIT,"11,396,396.40",0.00
,* AIO ASUS EXPERTCENTER P400 P440VAT INTEL CORE i5 - 13420H 8GB DDR5 512GB SSD WIN 11 TOUCH,0,1,UNIT,"10,130,630.63",0.00
,* AIO ASUS ExpertCenter P440VAK W5151WS intel Core i5 13420H 16GB 512GB W11,0,0,UNIT,0.00,0.00
,"* AIO ASUS P440VAK i3 - 1315U 8GB DDR5 512GB SSD 23,8"" WIN 11",1,1,UNIT,"6,328,828.83","6,328,828.83"
,"* AIO ASUS V222FAK CI3 10110U 4GB 1TB 21'5"" NW",0,1,UNIT,"5,693,693.69",0.00
,* AIO ASUS V222FAK CI3-10110U 4GB 256GB SSD WIN 11 NW,0,1,UNIT,"6,031,531.53",0.00
,* AIO ASUS V222FAK-BA3411T Ci3-10110U 4GB 1TB + 128GB SSD,0,1,UNIT,"6,409,909.91",0.00
,* AIO ASUS V222GAK INTEL J4025 4GB 1TB HDD WIN 11 NW,0,1,UNIT,"4,243,243.24",0.00
,* AIO ASUS V222GAK INTEL J4025 4GB 256GB SSD #,1,1,UNIT,"4,566,385.14","4,566,385.14"
,* AIO ASUS V241EAK - BA785W Ci7-1165G7 8GB 512GB SSD,0,1,UNIT,"12,000,000.00",0.00
,"* AIO ASUS V241EPT 23.8"" INTEL I7 -1165G7 / NVIDIA MX 330 2GB / 16GB DDR 4 / 1TB HDD + 256GB SSD",0,1,UNIT,"15,227,272.73",0.00
,* AIO AXIOO HYPE FLEX 5 + INTEL CORE i5 - 12450H 16GB 512GB SSD DOS,0,1,UNIT,"6,432,432.43",0.00
,* AIO HP 22 DF0145D 1V7D8AA INTEL J4025 4GB 1TB,0,1,UNIT,"5,193,693.69",0.00
,* AIO HP 24 Ci5 1235U 8GB 512GB SSD WIN11,0,1,UNIT,"9,432,432.43",0.00
,* AIO HP 24 CR1126D ULTRA 7 155U 16GB 512GB SSD INTEL IRIS XE GRAPHICS WIN 11 *,0,1,UNIT,"13,918,918.92",0.00
,* AIO LENOVO A100 INTEL N100 8GB DDR4 512GB SSD WIN 11,0,1,UNIT,"4,324,324.32",0.00
,* AIO LENOVO A100-F0J6005EID Intel Core i3-N305 8GB DDR4 512GB SSD Cloud Grey,0,1,UNIT,"5,675,675.68",0.00
,* AIO LENOVO IDEACENTRE 27IRH9 Ci5-13420H 8GB 512GB SSD WIN 11,0,1,UNIT,"9,846,846.85",0.00
,* AIO LENOVO IDEACENTRE 3 22ITL6 Ci3 - 1115G4 4GB 256GB SSD WIN 11 WHITE,0,1,UNIT,"6,569,369.37",0.00
,* AIO LENOVO IDEACENTRE A340 CI3-10110U 4GB 1TB HDD,0,1,UNIT,"6,309,090.91",0.00
,* AIO LENOVO IDEACENTRE A340-24IWL CI3-10110U 4GB 512GB SSD,0,1,UNIT,"6,486,363.64",0.00
,* ALFA INK ART PAPER BLACK,50,1,PCS,"75,630.63","3,781,531.53"
,* ALFA INK KERTAS FOTO STIKER GLOSSY LITE 125GSM,187,50,PCS,"11,261.26","2,105,855.86"
,* ALFA INK KERTAS THERMAL 80 X 80,944,1,PCS,"9,009.01","8,504,504.50"
,* ALFA INK L SERIES EPSON BLACK,186,1,PCS,"29,549.55","5,496,216.22"
,* ALFA INK TINTA STEMPEL FLASH 10 ML,143,1,PCS,"6,729.73","962,351.24"
,* ALL IN ONE ACER C22 1700 Ci3 1215U 8GB 512GB WIN 11,0,1,UNIT,"6,387,387.39",0.00
,* ALL IN ONE LENOVO IDEACENTRE 3 22IAP7 Ci3-1215U 8GB 256GB SSD #,0,1,UNIT,"6,099,099.10",0.00
,* AMPLOP PAPER LINE ( LEM ),10,1,PCS,"15,025.23","150,252.25"
,* APC SRC1KI,0,1,UNIT,"4,234,234.23",0.00
,* APC SRT6KXLI,0,1,UNIT,"40,090,090.09",0.00
,* APPLE MACBOOK AIR 13 M2 8GB 256GB SPACE GREY,0,1,UNIT,"15,846,846.85",0.00
,* APPLE MACBOOK AIR 13 M4 CHIP WITH 10-CORE CPU AND 8-CORE GPU 16GB 256GB SSD,0,1,UNIT,"14,117,117.12",0.00
,* ASUS A1402ZA-IPS552 CI5-1235U 8GB 512GB SSD WIN 11 #,0,1,UNIT,"7,657,657.66",0.00
,"* ASUS A1502ZA Ci5-1235U 8GB 512GB WIN 11 15"" TOUCH",0,1,UNIT,"8,065,765.77",0.00
,"* ASUS A416EPO CI5 - 1135G7 8GB 512GB SSD MX 330 NVIDIA 14""",0,1,UNIT,"8,509,009.01",0.00
,"* ASUS A416FA-FHD CI3-10110U  4GB 256GB SSD 14"" #",0,1,UNIT,"4,792,792.79",0.00
,* ASUS A416J CI5-1035G1 4GB 512GB SSD WIN 11 NW,0,1,UNIT,"7,657,657.66",0.00
,"* ASUS A416JAO CI3-1005G1 4GB 256GB SSD 14""",0,6,UNIT,"4,857,786.36",0.00
,"* ASUS A416JAO CI5-1035G1 4GB 256GB SSD 14""",0,1,UNIT,"7,387,387.39",0.00
,* ASUS A416JP0 CI5 1035G1 8GB 512GB SSD MX 330,0,1,UNIT,"9,559,090.91",0.00
,"* ASUS A416JPO CI5 1035G1 8GB 512GB SSD MX 330 2GB 14""",0,1,UNIT,"9,216,216.22",0.00
,"* ASUS A416MAO INTEL N4020 4GB 256GB SSD 14""",0,1,UNIT,"3,845,472.10",0.00
,"* ASUS A516EPO - VIPS752 CI7-1165G7 8GB 512GB SSD MX 330 2GB 14""",0,1,UNIT,"10,644,144.14",0.00
,* ASUS A516JAO-VIPS527 CI5-1035G1 4GB 256GB SSD,0,1,UNIT,"6,792,792.79",0.00
,"* ASUS A516KA - FHD INTEL N4500 4GB 256GB SSD 15""",0,1,UNIT,"3,707,207.21",0.00
,* ASUS A516MAO INTEL N4020 4GB 256GB SSD,0,1,UNIT,"3,414,795.23",0.00
,* ASUS B1402CBA Ci7-1255U 16GB 512GB SSD WIN 11 EK,0,1,UNIT,"13,666,666.67",0.00
,* ASUS E210MAO INTEL N4020 4GB 256GB SSD,0,1,UNIT,"3,468,468.47",0.00
,* ASUS E210MAO INTEL N4020 8GB 512GB SSD #,0,1,UNIT,"3,490,990.99",0.00
,* ASUS E410MA INTEL N4020 4GB 512GB SSD,0,1,UNIT,"3,780,085.71",0.00
,* ASUS EXPERTBOOK B1402CBA Ci3 -1215U 8GB 512GB SSD WIN 11,0,1,UNIT,"5,270,270.27",0.00
,* ASUS EXPERTBOOK P1 P1403CVA INTEL CORE i3 - 1315U 8GB 512GB SSD WIN 11 + OHS,0,1,UNIT,"5,666,666.67",0.00
,* ASUS EXPERTBOOK P1411CJA CI3 1005G1 4GB 512GB SSD 14 INCS,0,1,UNIT,"5,045,045.05",0.00
,"* ASUS EXPERTBOOK P2451FA - EK3420T CI3-10110U 4GB 256GB SSD 14""",0,1,UNIT,"4,448,198.20",0.00
,* ASUS Gaming K16 K3605VC Core i5 13420H 8GB DDR4 512GB SSD RTX 3050 4GB W11,1,1,UNIT,"8,436,936.94","8,436,936.94"
,* ASUS M3401QC OLED 759 AMD RYZEN 7 - 5800H 8GB 512GB SSD RTX 3050 4GB WIN 11,0,1,UNIT,"11,711,711.71",0.00
,"* ASUS M415DAO-FHD351 RYZEN 3 3250U 14"" FHD 8GB SSD 512GB PS",0,1,UNIT,"5,540,540.54",0.00
,"* ASUS N7400PC-OLED714 SILVER Ci7 11370H WIN11 (14"" 2.8K OLED / RTX 3050 / 1TB SSD / 16GB) CREATOR",0,1,UNIT,"15,045,045.05",0.00
,"* ASUS P1411CMA N4020 4GB 256GB SSD 14 "" (KS)",0,1,UNIT,"3,963,963.96",0.00
,"* ASUS P1412CEA CI3-1115G4 4GB SSD 256GB WIN 11 14""",0,1,UNIT,"4,774,774.77",0.00
,* ASUS TUF A15 FA506IEB AMD RYZEN 7 4800H 2X8GB 512GB SSD RTX3050Ti 4GB WIN 11,0,1,UNIT,"13,243,243.24",0.00
,* ASUS TUF A15 FA506IHRB AMD RYZEN 5 4600H 8GB 512GB SSD GTX 1650 4GB WIN 11,0,1,UNIT,"10,009,009.01",0.00
,* ASUS TUF DASH F15 FX517ZM Ci7-12650H 2X8GB 1TB SSD RTX 3060 6GB WIN 11 #,0,1,UNIT,"16,189,189.19",0.00
,* ASUS TUF F15 FX506HCB - I7 11600H 16GB 512GB SSD RTX 3050 4GB,0,1,UNIT,"15,668,181.82",0.00
,* ASUS TUF F15 FX506LH - I565B6T -O11 CI5-10300H 8GB 512GB SSD VGA GTX 1650 4GB W11,0,1,UNIT,"9,783,783.78",0.00
,* ASUS TUF FX506HC Ci5-11400H 8GB 512GB SSD RTX 3050 4GB WIN 11,0,1,UNIT,"11,522,522.52",0.00
,* ASUS VIVOBOOK 14 A1404VA VIP Ci5 - 1335U 8 512GB SSD WIN 11,2,1,UNIT,"7,207,207.21","14,414,414.41"
,* ASUS VIVOBOOK 14 A1404VAP - VIPS INTEL CORE 5 120U 16GB 512GB SSD WIN 11,2,1,UNIT,"7,671,171.17","15,342,342.34"
,* ASUS VIVOBOOK 14 A1404VAP - VIPS INTEL CORE 5 120U 8GB 512GB SSD WIN 11,1,1,UNIT,"7,314,189.19","7,314,189.19"
,* ASUS VIVOBOOK 14 E410KA N4500 8GB 256GB SSD WIN 11,3,1,UNIT,"3,993,321.68","11,979,965.03"
,* ASUS VIVOBOOK 14 E410KA N4500 8GB 256GB SSD WIN 11 KS,5,1,UNIT,"3,981,981.98","19,909,909.91"
,* ASUS VIVOBOOK 14 M1405YA VIPS751 AMD RYZEN 7 - 7730U 16GB 512GB SSD WIN 11 #,0,1,UNIT,"8,684,684.68",0.00
,"* ASUS VIVOBOOK 14"" A1404VA Ci7 - 1355U 16GB 1TB SSD WIN 11",0,1,UNIT,"10,486,486.49",0.00
,"* ASUS VIVOBOOK 14"" A1404VA PROC Ci7 1355U 8GB 512GB SSD WIN 11 #",0,1,UNIT,"9,635,135.14",0.00
,"* ASUS VIVOBOOK 14"" A1404ZA CI5 1235U 8GB 512GB SSD WIN 11 #",0,1,PCS,"7,288,288.29",0.00
,"* ASUS VIVOBOOK 14"" A1404ZA VIPS I5-1235U 16GB 512GB SSD WIN 11",0,1,UNIT,"7,654,654.65",0.00
,* ASUS VIVOBOOK 14X K3405VF - VIPS551 Ci5-13500H 8GB 512GB SSD RTX2050 4GB WIN 11 #,0,1,UNIT,"10,360,360.36",0.00
,* ASUS VIVOBOOK FLIP T3300KA-OLED622 INTEL N6000 8GB 256GB SSD W11,0,1,UNIT,"7,752,252.25",0.00
,* ASUS VIVOBOOK FLIP TP1400KA HD421 INTEL N4500 4GB 256GB SSD WIN 11,0,1,UNIT,"4,995,495.50",0.00
,* ASUS VIVOBOOK FLIP TP340VA-OLEDS752 Ci7-13700H 16GB 512GB SSD INTEL IRIS XE WIN 11 TOUCH SCREEN,0,1,UNIT,"14,027,027.03",0.00
,* ASUS VIVOBOOK GO 14 E1404FA - FHD AMD RYZEN 3 7320U 8GB 512GB SSD WIN 11 #,2,1,UNIT,"5,229,729.73","10,459,459.46"
,* ASUS VIVOBOOK GO 14 E1404FA AMD RYZEN 5 7520U 16GB 512GB SSD WIN 11,2,1,UNIT,"6,801,801.80","13,603,603.60"
,* ASUS VIVOBOOK GO 14 E1404FA FHD AMD RYZEN 3 7320U 8 256GB SSD WIN 11 #,4,1,UNIT,"4,922,522.52","19,690,090.09"
,* ASUS VIVOBOOK GO 14 E1404FA FHD AMD RYZEN 5 7520U 8 512GB SSD WIN 11 #,3,1,UNIT,"6,286,036.04","18,858,108.11"
,* ASUS VIVOBOOK GO 14 E1404GA Ci3-N305 8GB 512GB SSD WIN 11 #,1,1,UNIT,"5,288,288.29","5,288,288.29"
,* ASUS VIVOBOOK GO 14 E1404GA FHD Ci3 N305 8GB 256GB SSD WIN 11 #,3,1,UNIT,"5,075,075.08","15,225,225.23"
,* ASUS VIVOBOOK GO 14 E410KA FHD N4500 8GB 512GB SSD WIN 11,2,1,UNIT,"4,367,117.12","8,734,234.23"
,"* ASUS X441MAO INTEL N4020 4GB 1TB 14""",0,1,UNIT,"3,427,927.93",0.00
,* ASUS ZENBOOK FLIP 13 UX 363EA - EM501TS CI5-1135G7 8GB 512GB SSD (JT),0,1,UNIT,"13,409,909.91",0.00
,* ASUS ZENBOOK S13 OLED UX5304MA OLED 712 CORE ULTRA 7 155U 32GB 1TB SSD WIN 11 *,0,1,UNIT,"19,950,450.45",0.00
,* AUTO SHEET FEEDER FOR G1010 / G2010,17,1,UNIT,"197,460.08","3,356,821.32"
,* AUTO SHEET FEEDER UNIT G1020 / 2020,3,1,PCS,"509,729.73","1,529,189.19"
,* AV15-51 I5-1155G7 8GB 512GB SSD 15INCS FHD AM,0,1,UNIT,"9,568,181.82",0.00
,* AXIOO HYPE 1 N4020 8GB 256,0,1,UNIT,"2,432,432.43",0.00
,* AXIOO HYPE 10 INTEL N4020 8 256 #,12,1,UNIT,"2,532,862.08","30,394,344.98"
,* AXIOO HYPE 3 (G11) INTEL CORE i3 -  1125G4 8GB 256GB SSD,1,1,UNIT,"3,590,090.09","3,590,090.09"
,* AXIOO HYPE 5 RYZEN 5 3500 8GB 256GB @,3,1,UNIT,"3,513,513.51","10,540,540.54"
,* AXIOO MAYBOOK HYPE 5 Ci5-1035G4 8 512GB SSD,0,1,UNIT,"4,211,711.71",0.00
,"* AXIOO MYBOOK 11G GREY DC N4020 11,6 4GB 256GB SSD",0,1,UNIT,"2,099,099.10",0.00
,"* AXIOO MYBOOK 14E INTEL N4000 4GB 256GB SSD 14""",0,1,UNIT,"1,955,855.86",0.00
,* AXIOO MYBOOK HYPE 3 Ci3-1005G1 8GB 256GB SSD,0,1,UNIT,"3,599,099.10",0.00
,* AXIOO MYBOOK HYPE 5 AMD X3 RYZEN 5 3500U 8 256GB SSD WIN 11 #,0,1,UNIT,"3,900,900.90",0.00
,* BALLPOINT SNOWMAN V1 PCS,132,1,PCS,"1,202.70","158,756.76"
,* BARCODE MK7120 HONEYWELL,0,1,PCS,"1,486,363.64",0.00
,* BATERAI ABC ALKALINE AA,80,1,PCS,"3,659.91","292,792.79"
,* BATERAI ABC ALKALINE AAA,40,1,PCS,"3,659.91","146,396.40"
,* BATERAI AXIOO 14E,2,1,PCS,"198,198.20","396,396.40"
,* BATERAI AXIOO A587578 IB,0,1,PCS,"198,198.20",0.00
,* BATERAI AXIOO MYBOOK 11G,0,1,PCS,"198,198.20",0.00
,* BATERAI AXIOO MYBOOK 11G C,0,1,PCS,"198,198.20",0.00
,* BATOK TC JETE E11 35W USB + C,2,1,PCS,"108,018.02","216,036.04"
,* BATOK TC JETE E31 TYPE C + USB 20W,2,1,PCS,"53,963.96","107,927.93"
,* BERRY LAKBAN HITAM 36 X 12M,19,1,PCS,"7,297.30","138,648.65"
,* BINDER CLIP NO 155,118,1,PCS,"5,032.43","593,827.03"
,* BINDER CLIP NO. 111,163,1,PCS,"3,575.68","582,835.14"
,* BINDER CLIP NO. 200,57,1,PCS,"8,696.40","495,694.59"
,* BINDER CLIP NO. 260,24,1,PCS,"13,110.81","314,659.46"
,* BLUEPRINT ADAPTOR LITE80L,1,1,PCS,"117,117.12","117,117.12"
,* BLUEPRINT CANON BLACK (100ML),18,1,PCS,"34,234.23","616,216.22"
,* BLUEPRINT CANON CYAN (100ML),20,1,PCS,"34,234.23","684,684.68"
,* BLUEPRINT CANON KOTAK  WARNA ( SUNTIK ),20,1,PCS,"21,621.62","432,432.43"
,* BLUEPRINT CANON KOTAK HITAM ( SUNTIK ),19,1,PCS,"21,621.62","410,810.81"
,* BLUEPRINT CANON YELLOW (100ML),320,1,PCS,"34,234.23","10,954,954.95"
,* BLUEPRINT CATRIDGE TONER HP 285A,15,1,PCS,"315,315.32","4,729,729.73"
,* BLUEPRINT DOUBLE SIDED PHOTO PAPER,1,1,PCS,"27,027.03","27,027.03"
,* BLUEPRINT KERTAS FOTO A3,1,1,PCS,"39,639.64","39,639.64"
,* BLUEPRINT KERTAS FOTO MATAHARI 230GR,1,1,PCS,"20,270.27","20,270.27"
,* BLUEPRINT KERTAS FOTO STIKER A4,1,1,PCS,"22,072.07","22,072.07"
,* BLUEPRINT KERTAS INKJET PAPER ( ISI 50 ),1,1,PCS,"19,369.37","19,369.37"
,* BLUEPRINT KERTAS THERMAL 80 X 40,50,1,PCS,"3,603.60","180,180.18"
,* BLUEPRINT PLASTIK LAMINATING A4,70,1,PCS,"56,306.31","3,941,441.44"
,* BLUEPRINT PRINTABLE CARD (KERTAS ID CARD),4,1,PCS,"38,288.29","153,153.15"
,* BLUEPRINT PRINTER ECO BP-ECO58 (BATERAI),5,1,PCS,"296,396.40","1,481,981.98"
